Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10n,
"C10, C14, C2, C3",0603,4,1u,
"C11, C16, C17, C5, C6, C7, C8, C9",0603,8,100n,
"C12, C13",0603,2,22p,
C15,0603,1,2.2u,
C4,0603,1,10u,
D1,2.8x3.5_LED_RGB,1,APFA3010,
D2,LED_PLCC-2_3x2mm_KA,1,LED,
FB1,0603,1,120R@100MHz,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"J3, J4",PinSocket_1x14_P2.54mm_Vertical,2,Conn_01x14_Socket,
"R1, R15, R2, R3, R4, R6, R7",0603,7,10k,
"R10, R8, R9",0603,3,220,
"R11, R12",0603,2,5k1,
R13,0603,1,50,
R5,0603,1,27,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,SOT-353_SC-70-5_Handsoldering,1,74AHC1G14,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,640-USB4215-03-A,1,~,
U5,SOT-23,1,AP7384-33SA,
"U6, U7",SOIC-16W_7.5x10.3mm_P1.27mm,2,~,
Y1,3225_smd_crystal,1,16MHz,
