Designator,Mid X,Mid Y,Rotation,Layer
C1,138.52,-97.155,270.0,top
C10,161.81,-115.3025,270.0,top
C11,111.735,-112.545,90.0,top
C12,140.72,-107.08,270.0,top
C13,143.93,-101.905,90.0,top
C14,115.77,-96.58,180.0,top
C15,117.335,-90.95,0.0,top
C16,148.56,-103.655,270.0,top
C17,148.46,-91.995,270.0,top
C2,143.07,-98.05,270.0,top
C3,144.94,-98.08,270.0,top
C4,125.235,-90.91,0.0,top
C5,126.51,-93.0625,0.0,top
C6,124.76,-103.08,180.0,top
C7,137.3,-103.17,270.0,top
C8,134.91,-105.07,180.0,top
C9,153.93,-115.945,270.0,top
D1,159.2,-83.49,180.0,top
D2,105.5,-89.875,90.0,top
FB1,144.055,-95.69,0.0,top
J1,129.575,-110.02,90.0,top
J2,168.5,-94.645,0.0,top
J3,130.24,-116.525,90.0,top
J4,130.24,-83.525,90.0,top
R1,163.46,-115.3025,90.0,top
R10,153.745,-82.76,0.0,top
R11,111.72,-105.875,270.0,top
R12,112.71,-94.99,90.0,top
R13,108.5375,-93.355,0.0,top
R14,147.935,-89.64,0.0,top
R15,162.275,-108.45,270.0,top
R2,162.635,-112.9525,0.0,top
R3,134.56,-110.02,180.0,top
R4,109.15,-114.145,270.0,top
R5,135.85,-90.135,270.0,top
R6,140.35,-91.08,270.0,top
R7,140.35,-94.215,90.0,top
R8,153.745,-84.83,180.0,top
R9,163.55,-86.485,90.0,top
SW1,168.5,-110.63,270.0,top
SW2,105.5,-109.68,270.0,top
U1,157.2,-114.52,0.0,top
U2,131.31,-99.04,90.0,top
U3,114.975,-100.05,0.0,top
U4,104.675,-100.0,270.0,top
U5,115.6225,-93.72,0.0,top
U6,155.5,-94.095,270.0,top
U7,155.5,-106.055,270.0,top
Y1,143.13,-105.21,90.0,top
